artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,country,continent,popularity
Rigoberta Bandini,Ay Mamá,Ay Mamá,0khVEzctbwmqLvOpg1ecbg,0.687,0.56,1,-6.399,1,0.0364,7.45e-06,0.146,0.32,126.995,181695,4,ESP,EU,72.0
El Taiger,La Historia,La Historia,20RGQHWvqyyacpuxMBeLsZ,0.909,0.636,10,-6.659,1,0.191,0.00068,0.0779,0.554,100.01,237900,4,ESP,EU,77.0
Bad Gyal,Nueva York (Tot*),Nueva York (Tot*),1z5TNHJ4WP2ftKhRpqdoNY,0.725,0.975,4,-2.671,0,0.063,0.00124,0.137,0.885,130.053,154173,4,ESP,EU,76.0
Funzo & Baby Loud,INMORTALES,INMORTALES,4nVuhPrmtIO1m2hRrtxBlI,0.64,0.738,1,-7.464,1,0.0434,0.0,0.109,0.383,120.006,192500,4,ESP,EU,75.0
Morad,Cuando Ella Sale,Cuando Ella Sale,0bxzF2Kyql0pQ58Mymztue,0.789,0.543,7,-6.382,1,0.0748,0.000705,0.105,0.463,91.996,222799,4,ESP,EU,76.0
Bizarrap,"Ptazeta: Bzrp Music Sessions, Vol. 45","Ptazeta: Bzrp Music Sessions, Vol. 45",4axxCbc4tWlpqHP5UbJMc3,0.829,0.81,2,-4.801,1,0.144,0.0,0.0748,0.707,114.044,161485,4,ESP,EU,80.0
Q-Mark,Umlilo,Paris,7BH6nyhnWTSfMUwwrCYbJF,0.82,0.563,6,-9.079,0,0.0379,2.93e-06,0.0336,0.491,111.99,415714,4,RSA,AFRICA,47.0
9umba,uMlando,uMlando,03GRsjCSytQo3LuspJayKT,0.812,0.646,10,-8.402,0,0.112,5.12e-05,0.0472,0.562,112.986,443091,4,RSA,AFRICA,57.0
Kabza De Small,Asibe Happy,Asibe Happy,6F70m9aMK4PSJKBfp1H8DZ,0.805,0.626,4,-12.542,0,0.0473,0.0793,0.256,0.188,113.0,458778,4,RSA,AFRICA,64.0
Busta 929,"Umsebenzi Wethu, Vol. 2",Ngixolele,7jeXFt3u9o8PveE4CHSOs0,0.626,0.489,9,-11.141,0,0.0503,0.65,0.0971,0.665,152.066,377625,5,RSA,AFRICA,63.0
Wanitwa Mos,Dali Nguwe,Dali Nguwe,584B5N5x0phtVVpBtSNcPt,0.848,0.568,2,-9.061,1,0.0397,0.0019,0.0502,0.314,111.979,325876,4,RSA,AFRICA,58.0
Young Stunna,Notumato,Adiwele (feat. Kabza De Small & DJ Maphorisa),2dTQe0W5KXs6TNVV7yi2oS,0.848,0.621,5,-12.027,0,0.0424,0.000438,0.0468,0.742,112.002,471429,4,RSA,AFRICA,65.0
Kabza De Small,Abalele,Abalele,2qxgejJTaZIHNSHDD22Uhl,0.788,0.449,5,-16.197,0,0.0835,0.027,0.133,0.59,113.001,416322,4,RSA,AFRICA,64.0
Ch'cco,Nkao Tempela,Nkao Tempela,7JtWy2vvKVXLaymyTXUJ0K,0.791,0.417,4,-12.139,0,0.0522,0.0104,0.0789,0.225,112.008,361528,4,RSA,AFRICA,65.0
Felo Le Tee,Dipatje Tsa Felo (feat. Daliwonga),Dipatje Tsa Felo (feat. Daliwonga),3rDd1X68wGTaKYRATrcARb,0.842,0.768,1,-8.658,1,0.0579,1.62e-05,0.043,0.543,112.02,379286,4,RSA,AFRICA,59.0
Dj Karri,Trigger,Trigger,5UQPyDQmSLM9fb6d6nuD3s,0.62,0.3,1,-16.596,1,0.0773,0.0794,0.0328,0.287,113.015,393744,4,RSA,AFRICA,57.0
Goya Menor,Ameno Amapiano Remix (You Wanna Bamba),Ameno Amapiano Remix (You Wanna Bamba),4iwiYqzoLImJraKQ9Pf2I2,0.807,0.898,6,-5.837,0,0.0393,0.000395,0.0824,0.743,112.998,227101,4,RSA,AFRICA,73.0
Felo Le Tee,66,66,1b4kqxvf4kFuB7ACj9Lvve,0.589,0.595,2,-11.415,1,0.0703,0.584,0.0479,0.231,112.006,430714,4,RSA,AFRICA,62.0
Nomfundo Moh,Phakade Lami,Phakade Lami,6wQvbzsxSLKqYrPc26jd9S,0.618,0.389,11,-11.236,0,0.0481,1.19e-05,0.072,0.516,166.021,261476,4,RSA,AFRICA,60.0
Young Stunna,Notumato,"Sithi Shwi (feat. Big Zulu, DJ Maphorisa & Kabza De Small)",4tYw8LJySmSEopvN1AknXv,0.872,0.599,8,-8.301,1,0.0631,0.0441,0.0296,0.652,111.984,377182,4,RSA,AFRICA,59.0
Musketeers,Danko,Danko,0GL7uWv0R3NVJ584jjzTBX,0.867,0.588,5,-13.334,1,0.111,0.168,0.113,0.538,113.02,344372,4,RSA,AFRICA,56.0
Reece Madlisa,"Ama Roto, Vol. 2 (Kwaito Edition)",Iy’ntsimbi zase envy,1EI3kxTD1xp8afUUnWc6tS,0.853,0.667,1,-7.324,1,0.0594,0.0148,0.0385,0.442,114.003,373500,4,RSA,AFRICA,49.0
Zakes Bantwini,Ghetto King,Osama,0T0FIfA0AI3ELwNVBSZNS3,0.668,0.701,5,-10.208,0,0.0346,0.591,0.103,0.269,122.014,409150,4,RSA,AFRICA,47.0
Busta 929,"Undisputed, Vol. 2",Mmapula,22sG77yM0PrgIpbVKZ40yY,0.491,0.576,2,-12.915,0,0.0858,0.00162,0.0757,0.414,114.057,378958,4,RSA,AFRICA,59.0
DJ Maphorisa,Banyana,Izolo,1ix1dhMZI8cYXiyzHgun42,0.79,0.561,10,-10.228,0,0.0437,0.00235,0.0589,0.187,112.006,445714,4,RSA,AFRICA,60.0
Mas Musiq,Auti 'eSharp,"Uzozisola (feat. Aymos, Kabza De Small & DJ Maphorisa)",1juCUMeUqFP7oId0SR2Yfg,0.87,0.633,11,-8.32,0,0.0611,4.74e-05,0.137,0.732,112.028,420039,4,RSA,AFRICA,49.0
Various Artists,Black Is Brown Compilation Vol 1,Halala (feat. Mellow & Sleazy),2P22nuGMf26qeoX7P0oOuT,0.787,0.461,6,-10.682,0,0.0521,0.383,0.0493,0.292,112.007,498108,4,RSA,AFRICA,51.0
Various Artists,"Bopha (feat. DJ Maphorisa, Madumane & Young Stunna)","Bopha (feat. DJ Maphorisa, Madumane & Young Stunna)",3ODhKM44KPGGaHSXLCgMuk,0.891,0.502,10,-12.972,0,0.102,0.00458,0.0273,0.328,112.016,480000,4,RSA,AFRICA,58.0
Soa Mattrix,Tintswalo,Umama Akekho (feat. Nkosazana Daughter & Mas Musiq),2b7o3fhD77D7vIPk5EZa6v,0.776,0.508,7,-13.786,1,0.057,0.563,0.0373,0.382,112.018,415223,4,RSA,AFRICA,55.0
De Mthuda,The Landlord,Jola,6V4cXOqj8TBjhyH9M5cqG0,0.819,0.531,11,-13.419,0,0.0608,0.000102,0.115,0.519,113.006,382340,4,RSA,AFRICA,45.0
Various Artists,Show Me The Money 10 Episode 2,"MERRY-GO-ROUND (Feat. Zion.T, Wonstein) (Prod. Slom)",2eLe81VDUQ5f0xFfc9cMWz,0.861,0.552,1,-6.712,0,0.0777,0.0,0.374,0.697,108.036,249752,4,KOR,ASIA,67.0
Various Artists,Show Me The Money 10 Episode 3,Limousine (Feat. MINO) (Prod. GRAY),5g2Ik0WJG9rqu97nCLcQhV,0.718,0.695,7,-4.231,1,0.0378,0.0,0.396,0.837,132.166,220682,4,KOR,ASIA,65.0
YENA,ˣ‿ˣ (SMiLEY),SMILEY(Feat. BIBI),4zCIxSnVWpGNghERX4uWZF,0.652,0.91,9,-3.444,1,0.134,1.25e-05,0.093,0.82,155.967,173413,4,KOR,ASIA,71.0
BE'O,Counting Stars,Counting Stars,4MokmgyM83qhJ6IAaChom5,0.883,0.638,8,-7.023,1,0.0655,3.35e-06,0.106,0.581,118.999,151261,4,KOR,ASIA,76.0
aespa,Savage - The 1st Mini Album,Savage,3dbLT62Cvs46Ju7a8gpr36,0.727,0.879,9,-1.167,1,0.129,1.17e-05,0.244,0.671,146.959,238144,4,KOR,ASIA,83.0
aespa,Next Level,Next Level,2zrhoHlFKxFTRF5aMyxMoQ,0.82,0.852,11,-2.567,0,0.166,5.94e-06,0.0907,0.82,109.036,221573,4,KOR,ASIA,81.0
Various Artists,Show Me The Money 10 Episode 3,"Meeting is easy, parting is hard (Feat. Leellamarz) (Prod. TOIL)",1GFS1xMbcAWXf5W0tSuZev,0.549,0.793,2,-4.996,1,0.0955,0.0,0.354,0.339,153.893,231413,4,KOR,ASIA,59.0
