artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,country,continent,popularity
Kaleb Di Masi,Turraka (Remix),Turraka - Remix,2Qv0DF1us4LhzLj0Cx9cSn,0.799,0.6,7,-7.474,1,0.332,0.0,0.0474,0.683,170.22,210353,4,ARG,SOUTH-AM,79.0
Sebastian Yatra,Tacones Rojos,Tacones Rojos,0Be7sopyKMv8Y8npsUkax2,0.748,0.856,11,-3.517,0,0.0348,0.0,0.142,0.927,123.031,189320,4,ARG,SOUTH-AM,90.0
zzoilo,Mon Amour (Remix),Mon Amour - Remix,5TMLavqGRKNxgzMBrVpC9R,0.748,0.761,2,-6.621,1,0.102,6.56e-06,0.0984,0.362,116.041,179940,4,ARG,SOUTH-AM,92.0
Alan Gomez,MESITA | Mission 05,MESITA | Mission 05,4WaopyDgvKQP6T852K9boe,0.736,0.462,9,-6.029,0,0.302,2.49e-06,0.17,0.814,179.972,136144,4,ARG,SOUTH-AM,75.0
TINI,Miénteme,Miénteme,0cOa970mzTWAxKtltpkpLc,0.85,0.541,2,-4.522,1,0.0674,5.01e-06,0.286,0.916,92.003,165275,4,ARG,SOUTH-AM,87.0
Duki,Temporada de Reggaetón,YIN YAN,6KGGhJoXrztLp8ZT91zizs,0.73,0.692,7,-4.341,1,0.137,0.0,0.271,0.713,172.068,189475,4,ARG,SOUTH-AM,82.0
Nathy Peluso,VIVIR ASÍ ES MORIR DE AMOR,VIVIR ASÍ ES MORIR DE AMOR,75HnDKDqsmEzdOKFWe5FZS,0.62,0.803,5,-5.514,0,0.0536,0.000155,0.1,0.717,102.0,257380,4,ARG,SOUTH-AM,81.0
Maria Becerra,Animal,Wow Wow (feat. Becky G),4Yip3hds5IHyT7AqoNHfmX,0.744,0.679,5,-3.51,1,0.0791,0.00429,0.0966,0.866,176.024,199773,4,ARG,SOUTH-AM,73.0
Perro Primo,"Yendo No, Llegando","Yendo No, Llegando",166qsYi2wR3u6qfg7wrh1r,0.859,0.534,9,-6.409,0,0.201,0.0,0.325,0.633,85.021,211875,4,ARG,SOUTH-AM,69.0
Nicki Nicole,Parte de Mí,Sabe,0XYZhJIcwKNjd0tjbSXwaQ,0.787,0.624,5,-4.156,0,0.137,0.0,0.172,0.767,93.063,177656,4,ARG,SOUTH-AM,72.0
Tiago PZK,Entre Nosotros,Entre Nosotros,6w8yBI2vthyN9UnwO4UBWb,0.729,0.513,5,-6.345,0,0.0455,1.1e-06,0.137,0.789,170.064,192353,3,ARG,SOUTH-AM,86.0
Trueno,FEEL ME??,FEEL ME??,4kELKaXaNP4EQR8Q8xNIID,0.738,0.579,10,-5.88,0,0.0447,0.0,0.266,0.531,123.082,187332,4,ARG,SOUTH-AM,84.0
Perro Primo,TRUCHO,TRUCHO,4AKK4j6sYhOO1r6My2qqWO,0.779,0.562,0,-5.678,1,0.26,1.29e-05,0.0974,0.57,89.853,144000,4,ARG,SOUTH-AM,75.0
