id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date,popularity
7m7PoSKmMCQUVRa12IlefA,Get Ready For This,Sports Jams Party Music,29oQOdOZf4OpzWADAQhwDU,['The Hit Crew'],['76PJKS3IQsf4sSayx2taE0'],3,1,False,0.804,0.855,11,-13.885,0,0.0546,0.0205,0.927,0.241,0.916,124.994,170773,4.0,2007,2007-08-07,1
0bGrJEpGhZTwa1lmzlow5M,Skipper'n synger - 2007 Remastered Version,Alf Prøysens beste barneviser,58pf96v3sE9HZOGluusBvL,['Alf Prøysen'],['0AU8XFChFl8AUPo5jExFlF'],6,1,False,0.4970000000000001,0.422,8,-8.446,1,0.0625,0.6559999999999999,0.0,0.119,0.8029999999999999,169.89700000000005,177120,3.0,2015,2015-09-01,11
0YHo4MGdDPw6j4SsrB7OPb,The Tempest,Coyote,2dPWBESddTQV0YAasGxXS5,['Catherine MacLellan'],['0EsKh62P5Wwr6GTFCpa7WC'],6,1,False,0.625,0.126,2,-13.088,1,0.0343,0.823,0.0,0.12,0.6679999999999999,102.881,222667,4.0,2019,2019-10-11,0
43geuMVB1j40z9907jWdEG,Dance of the Immortal,Black Butterfly,45nf06JEKFcpW5hRf5Bi3U,['Makis Delis'],['4dGpsWwyCSOQZSteAyzuny'],10,1,False,0.47,0.633,10,-13.474,0,0.0376,0.16,0.946,0.121,0.758,191.96,165125,4.0,2014,2014-04-18,0
4VOYYRDAW0hw74SQeG9GYb,"Symphony No. 8 in F major, Op. 93: Allegro vivace",Beethoven: The 9 Symphonies,68FslMHrCyB3d9MslzOaR5,"['Ludwig van Beethoven', 'Günter Wand']","['2wOqMjp9TyABvtHdOSOTUS', '5r6BbRI2QTDC9dv4rkSgCP']",8,3,False,0.381,0.178,5,-20.379,1,0.0355,0.955,0.799,0.0818,0.252,132.826,465627,4.0,1989,1989-03-17,0
2CMjzVKzPdx7kry2EStbua,Jazz T.V.,… Pero No Es Loco Ni Es Violento,4y7Vo4bm2eJJ2KTVMv99HB,['TARZAN'],['7906Z9mqDNYj0Qe8wbV3KX'],8,1,False,0.382,0.932,0,-5.436,0,0.11,0.00316,1.59e-06,0.1889999999999999,0.51,139.10399999999998,257373,4.0,1997,1997-10-10,0
4nrY5kF6XwqdkDQosMr09y,49th Parallel: I. Prelude,Vaughan Williams (The Best Of),5nXyqOjCGfgFWE24CkiZjq,"['Ralph Vaughan Williams', 'RTE Concert Orchestra', 'Andrew Penny']","['7wNkISK49lKeXuRaZcQVFe', '2JV4LRW4zooGWJvD2Ek3Tk', '4hwKl6LaXGgwDGJIx9k1r6']",1,1,False,0.0906,0.139,7,-20.087,1,0.0353,0.903,0.914,0.0857,0.0647,87.104,135453,4.0,2008,2008-06-24,10
00iOP5ROaTf1vRurRyAVZ0,Double Reaction,Double Reaction E.P.,7LoemyImGFB5ffOIr8IgIm,"['Xshade', 'Loopstep']","['0xF0UJaHhQ7zIXbJv8MS0Z', '1p2dALpFS48Of81rDX7OSg']",1,1,False,0.76,0.691,11,-7.903,0,0.0902,0.00452,0.6779999999999999,0.306,0.131,136.975,491291,4.0,2010,2010-07-20,0
5j9vJhCJTRLnlwClkufNDT,Bright Side,Australia Tour EP 2002,6uiw6OfU3Xz3rXhNHtJon0,['Pernice Brothers'],['1CgvL3gASrnuI8SKXr8K7F'],5,1,False,0.546,0.532,2,-10.207,1,0.0256,0.368,2.07e-05,0.0705,0.654,101.176,248227,4.0,2003,2003-11-04,3
0IqHxqfHFHoGDehgXCLFlU,I Remember,Jason Manns,3Us7XqGD6mpxADguk9T8IL,['Jason Manns'],['3LyC5nEu3YhsVDTeFr0CtH'],6,1,False,0.69,0.536,7,-6.193,1,0.0289999999999999,0.384,2.31e-06,0.108,0.5379999999999999,114.925,174000,4.0,2006,2006-07-05,6
0nViM9rzAAJi60QIjZfJIK,Cartesian Doubt,Lovesick,6nKXxyvhwqfSoSwxL7xjmK,['Little Warrior'],['2XvMoKTRonUpyjczi7UQ9Z'],5,1,True,0.787,0.455,1,-9.709,1,0.0986,0.6679999999999999,0.00248,0.0804,0.282,119.991,264000,4.0,2019,2019-05-10,0
